Date,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Winner,Umpire1,Umpire2
2021-07-02 17:50:03,Mumbai Indians,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire3,Umpire10
2018-02-04 12:53:51,Lucknow Super Giants,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Lucknow Super Giants,Umpire3,Umpire6
2011-06-17 18:02:18,Lucknow Super Giants,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,Umpire7,Umpire3
2022-07-10 10:48:45,Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Mumbai Indians,Umpire12,Umpire13
2024-02-08 04:50:25,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Royal Challengers Bangalore,Umpire1,Umpire16
2011-11-11 13:40:09,Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire11,Umpire13
2015-03-06 02:44:38,Delhi Capitals,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Delhi Capitals,Umpire16,Umpire2
2024-02-02 10:41:52,Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire1,Umpire6
2008-10-24 23:01:56,Kolkata Knight Riders,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire11,Umpire15
2016-06-13 05:36:14,Sunrisers Hyderabad,Rajasthan Royals,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire5,Umpire20
2009-12-10 00:15:53,Delhi Capitals,Lucknow Super Giants,Eden Gardens,Delhi Capitals,bat,Lucknow Super Giants,Umpire16,Umpire3
2011-04-20 22:53:52,Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,field,Kolkata Knight Riders,Umpire8,Umpire3
2024-02-06 04:21:11,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire1,Umpire7
2012-01-04 09:26:52,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire12,Umpire13
2009-12-13 11:56:18,Kolkata Knight Riders,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire17,Umpire17
2010-11-12 22:29:36,Sunrisers Hyderabad,Gujarat Titans,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Gujarat Titans,Umpire7,Umpire17
2017-03-15 02:15:16,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Chennai Super Kings,Umpire18,Umpire3
2016-07-22 10:36:20,Gujarat Titans,Royal Challengers Bangalore,Arun Jaitley Stadium,Gujarat Titans,bat,Royal Challengers Bangalore,Umpire20,Umpire5
2022-09-03 06:42:01,Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Rajasthan Royals,field,Sunrisers Hyderabad,Umpire12,Umpire13
2022-09-14 08:59:39,Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire4,Umpire10
2018-06-25 05:12:15,Kolkata Knight Riders,Lucknow Super Giants,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Lucknow Super Giants,Umpire17,Umpire15
2009-06-05 01:55:58,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire16,Umpire7
2020-03-16 08:17:13,Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Delhi Capitals,Umpire16,Umpire19
2010-12-29 18:09:46,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,Gujarat Titans,field,Gujarat Titans,Umpire9,Umpire13
2011-09-30 22:04:07,Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire4,Umpire12
2013-12-23 04:36:42,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Kolkata Knight Riders,bat,Lucknow Super Giants,Umpire7,Umpire14
2012-08-13 16:00:25,Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire8,Umpire17
2013-01-15 18:45:02,Chennai Super Kings,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,Chennai Super Kings,Umpire7,Umpire13
2017-01-04 15:17:08,Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire2,Umpire11
2009-04-07 22:32:25,Lucknow Super Giants,Kings XI Punjab,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire5,Umpire4
2023-09-29 14:48:23,Delhi Capitals,Mumbai Indians,Eden Gardens,Delhi Capitals,bat,Delhi Capitals,Umpire7,Umpire16
2013-04-27 08:58:38,Lucknow Super Giants,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Lucknow Super Giants,Umpire11,Umpire15
2013-01-03 21:28:15,Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,Umpire19,Umpire17
2013-05-07 12:35:35,Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire13,Umpire5
2022-02-22 01:02:14,Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,Royal Challengers Bangalore,bat,Gujarat Titans,Umpire12,Umpire2
2020-08-16 19:17:00,Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire16,Umpire3
2020-10-21 04:52:26,Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Kolkata Knight Riders,Umpire16,Umpire1
2020-09-07 16:14:23,Kings XI Punjab,Sunrisers Hyderabad,Arun Jaitley Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire4,Umpire9
2011-01-01 01:40:34,Kings XI Punjab,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire19,Umpire10
2019-12-31 14:39:00,Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire10,Umpire14
2017-03-03 20:21:01,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire11,Umpire17
2022-06-22 11:19:20,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians,Umpire7,Umpire11
2008-10-18 07:50:08,Mumbai Indians,Chennai Super Kings,Eden Gardens,Mumbai Indians,bat,Chennai Super Kings,Umpire16,Umpire1
2007-12-07 05:21:51,Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire9,Umpire19
2018-10-18 21:35:57,Kings XI Punjab,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire14,Umpire11
2008-10-20 04:30:54,Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Umpire3,Umpire3
2021-09-01 09:57:05,Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Rajasthan Royals,Umpire4,Umpire13
2007-10-15 08:37:58,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Mumbai Indians,field,Mumbai Indians,Umpire2,Umpire15
2008-02-20 02:34:49,Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire9,Umpire17
2011-09-24 15:31:50,Kolkata Knight Riders,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kolkata Knight Riders,Umpire16,Umpire11
2016-09-08 16:09:00,Delhi Capitals,Gujarat Titans,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire9,Umpire3
2017-10-01 05:35:22,Sunrisers Hyderabad,Royal Challengers Bangalore,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire2,Umpire13
2014-08-03 03:21:30,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire16,Umpire10
2024-03-01 09:26:35,Sunrisers Hyderabad,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,field,Gujarat Titans,Umpire4,Umpire13
2024-04-17 09:40:43,Gujarat Titans,Lucknow Super Giants,Wankhede Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire7,Umpire16
2016-07-17 18:55:50,Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,Umpire13,Umpire14
2013-08-08 15:07:47,Kings XI Punjab,Sunrisers Hyderabad,Wankhede Stadium,Kings XI Punjab,bat,Sunrisers Hyderabad,Umpire20,Umpire1
2014-01-16 23:35:41,Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Mumbai Indians,Umpire19,Umpire16
2011-04-28 06:43:02,Sunrisers Hyderabad,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,Umpire8,Umpire5
2009-12-27 06:51:43,Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Lucknow Super Giants,Umpire17,Umpire5
2017-11-11 21:04:56,Kings XI Punjab,Lucknow Super Giants,Arun Jaitley Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire1,Umpire12
2009-03-13 15:01:00,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,bat,Kings XI Punjab,Umpire4,Umpire3
2010-09-14 20:48:09,Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Mumbai Indians,field,Mumbai Indians,Umpire2,Umpire10
2021-08-28 16:45:48,Delhi Capitals,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,Umpire19,Umpire9
2023-10-25 13:03:04,Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire17,Umpire17
2018-11-19 00:51:43,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,Umpire11,Umpire1
2023-04-04 14:29:56,Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire13,Umpire16
2019-03-29 21:03:38,Lucknow Super Giants,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,bat,Lucknow Super Giants,Umpire19,Umpire12
2023-08-01 09:52:32,Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire7,Umpire7
2013-07-29 08:27:57,Kings XI Punjab,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,Kings XI Punjab,Umpire7,Umpire7
2017-08-27 13:47:49,Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire9,Umpire2
2020-03-25 16:11:46,Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,Gujarat Titans,bat,Gujarat Titans,Umpire20,Umpire3
2009-09-25 03:37:37,Gujarat Titans,Lucknow Super Giants,Eden Gardens,Gujarat Titans,bat,Lucknow Super Giants,Umpire15,Umpire9
2020-09-29 03:40:34,Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Mumbai Indians,field,Royal Challengers Bangalore,Umpire19,Umpire17
2010-07-09 18:40:55,Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire10,Umpire4
2011-04-05 17:17:14,Gujarat Titans,Mumbai Indians,M. Chinnaswamy Stadium,Gujarat Titans,field,Mumbai Indians,Umpire3,Umpire19
2012-12-27 04:24:43,Sunrisers Hyderabad,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants,Umpire19,Umpire20
2008-12-13 06:36:18,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,bat,Chennai Super Kings,Umpire18,Umpire16
2011-01-25 22:11:59,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Umpire7,Umpire14
2015-11-15 21:58:22,Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Royal Challengers Bangalore,Umpire2,Umpire17
2022-03-17 20:21:15,Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Delhi Capitals,Umpire5,Umpire19
2011-11-21 22:34:55,Delhi Capitals,Mumbai Indians,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire12,Umpire14
2009-05-29 15:20:41,Kings XI Punjab,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Kings XI Punjab,Umpire8,Umpire11
2010-12-30 10:52:30,Lucknow Super Giants,Gujarat Titans,Eden Gardens,Lucknow Super Giants,field,Gujarat Titans,Umpire12,Umpire19
2014-12-21 05:39:15,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire14,Umpire3
2011-09-17 07:32:04,Kolkata Knight Riders,Gujarat Titans,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Gujarat Titans,Umpire11,Umpire3
2021-05-09 17:46:13,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Kolkata Knight Riders,Umpire17,Umpire2
2008-08-19 13:51:30,Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire17,Umpire1
2023-11-18 12:57:42,Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,Rajasthan Royals,bat,Gujarat Titans,Umpire4,Umpire20
2020-07-31 18:36:39,Rajasthan Royals,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Rajasthan Royals,Umpire19,Umpire6
2013-11-03 09:54:11,Sunrisers Hyderabad,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire16,Umpire5
2018-11-13 00:16:37,Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,Gujarat Titans,bat,Gujarat Titans,Umpire19,Umpire6
2021-04-29 08:20:02,Delhi Capitals,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Delhi Capitals,Umpire4,Umpire8
2009-05-14 10:09:19,Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire4,Umpire19
2019-12-02 14:49:05,Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Chennai Super Kings,Umpire9,Umpire12
2023-03-26 19:52:08,Rajasthan Royals,Kings XI Punjab,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire20,Umpire20
2023-11-25 17:43:09,Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Lucknow Super Giants,Umpire4,Umpire14
2014-12-22 21:39:42,Chennai Super Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire7,Umpire16
2017-04-15 15:02:51,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Chennai Super Kings,Umpire12,Umpire2
2020-02-11 02:53:11,Gujarat Titans,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire8,Umpire12
2007-08-04 07:15:45,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Chennai Super Kings,field,Sunrisers Hyderabad,Umpire15,Umpire5
2017-02-08 16:12:32,Chennai Super Kings,Lucknow Super Giants,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,Umpire10,Umpire10
2016-02-23 12:57:35,Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire18,Umpire18
2018-11-28 00:55:33,Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,Umpire19,Umpire20
2017-04-30 10:31:01,Kings XI Punjab,Royal Challengers Bangalore,Eden Gardens,Kings XI Punjab,bat,Kings XI Punjab,Umpire11,Umpire18
2018-08-17 19:40:22,Kolkata Knight Riders,Kings XI Punjab,Arun Jaitley Stadium,Kolkata Knight Riders,field,Kings XI Punjab,Umpire6,Umpire18
2015-12-22 02:22:36,Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire4,Umpire6
2012-07-29 18:07:02,Chennai Super Kings,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Chennai Super Kings,Umpire3,Umpire4
2022-03-09 02:40:55,Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire13,Umpire13
2023-11-14 03:30:48,Kings XI Punjab,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Kings XI Punjab,Umpire1,Umpire5
2022-10-11 12:58:21,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Gujarat Titans,Umpire8,Umpire9
2022-06-24 11:26:24,Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore,Umpire14,Umpire19
2012-11-08 20:32:02,Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire19,Umpire1
